step,success,environment_reward,dataset_reward,dataset_done,state_max_error,state_mae,state_rmse,eef_nut_distance,nut_x,nut_y,nut_z,action_dx,action_dy,action_dz,action_rx,action_ry,action_rz,action_gripper
1,0,0.004421115290391064,0.0,0,0.11336580947969829,0.008287038271816939,0.02544031971674523,0.21301595130996656,-0.11118988202271442,0.17443745849087805,0.8791905858030117,0.0,0.0,0.0,0.035863060504198074,-1.0,0.009036056697368622,-1.0
2,0,0.0024130912704130036,0.0,0,0.028279655081445032,0.0037005164916577033,0.008103375726186869,0.23904816824404332,-0.11118989778653014,0.1744374414698096,0.844180573194494,0.165,-0.031,-0.055,0.008924712426960468,0.12049412727355957,-0.0174818504601717,-1.0
3,0,0.0017589638311843237,0.0,0,0.02239326742210128,0.0027639056600812107,0.0063374244590435344,0.25491490417765456,-0.11118940095769629,0.17443797792353147,0.822069913856788,0.3,0.037,0.174,0.006205231416970491,0.1276445835828781,-0.0012121660402044654,-1.0
4,0,0.0018653678407479003,0.0,0,0.02619048287319571,0.0026081169469293936,0.006445534684430729,0.2517923216662481,-0.11118868809038303,0.174438747646014,0.8259305874908329,0.363,-0.08800000000000001,-0.149,0.005619800183922052,0.1136416345834732,0.01896522380411625,-1.0
5,0,0.0019545341215578826,0.0,0,0.013913208903027717,0.001673645138264746,0.0033811175444417216,0.24892098007952293,-0.11118824684447613,0.17443922408375856,0.8280013043790944,0.337,0.198,-0.117,-0.007554319221526384,0.08896125108003616,0.04360784590244293,-1.0
6,0,0.0020477676381896017,0.0,0,0.012828604409920896,0.0016944095026139706,0.003413118799432188,0.2458888223047718,-0.11118800627716886,0.17443948383765884,0.8290130078949847,0.322,0.157,-0.305,-0.015690036118030548,0.06742943823337555,0.06374500691890717,-1.0
7,0,0.002136784845660211,0.0,0,0.01263389022551005,0.0016958366480592905,0.0035469064974179526,0.24291067879305242,-0.11118788734141709,0.17443961225920435,0.8295015629903898,0.201,0.271,-0.098,-0.014481520280241966,0.05692533031105995,0.08548537641763687,-1.0
8,0,0.0022286756759529736,0.0,0,0.012635469691774093,0.0016831767014075375,0.003616291117714527,0.2399794456063191,-0.1111878306735364,0.17443967344666655,0.8297412352546087,0.214,0.268,-0.2,-0.02395813725888729,0.06040523573756218,0.10429853945970535,-1.0
9,0,0.0023524792620911675,0.0,0,0.011948523690076651,0.0016270154051273857,0.0035632182372826926,0.23631513806761936,-0.1111878029469082,0.17443970338464893,0.8298602869297064,0.14300000000000002,0.466,-0.09,-0.018538188189268112,0.058497752994298935,0.11674563586711884,-1.0
10,0,0.0025586653584704355,0.0,0,0.01113281032331781,0.0015683468628492443,0.0034512015012306343,0.23118718237165511,-0.11118778924528017,0.17443971817905865,0.8299196628974862,0.039,0.386,-0.373,-0.002239974681288004,0.046461887657642365,0.1268964558839798,-1.0
