expert_start_step,rollout_step,success,reward,eef_nut_distance,nut_x,nut_y,nut_z,eef_x,eef_y,eef_z,action_dx,action_dy,action_dz,action_rx,action_ry,action_rz,action_gripper,latency_ms
100,1,0,0.16630491862470276,0.08629709187861648,0.21925192912730726,0.11315133355436985,0.9534430369668974,0.1340669031242346,0.09941697509902733,0.9548806771800147,0.020813604816794395,-0.098664790391922,-0.3397562801837921,-0.0010331586236134171,-0.06543780863285065,-0.011421067640185356,0.9904521107673645,12.365420999969956
100,2,0,0.17232972160947213,0.11523696332024203,0.23245114388197952,0.11352913209260906,0.965602796762654,0.11967591628162491,0.0935103980948468,0.9529317256127527,0.011942548677325249,-0.09644470363855362,-0.3578501343727112,0.002465437864884734,-0.06056226044893265,-0.014169348403811455,0.9547809958457947,1.3689389999740342
100,3,0,0.15048094448060778,0.13725303145944623,0.25009131389755834,0.11434949113319914,0.9606340033054045,0.11532712947173981,0.09129368588321606,0.9485741904906647,0.09227249771356583,-0.09195881336927414,-0.3406432569026947,0.0021096428390592337,-0.07240433245897293,-0.004048288334161043,0.9995853900909424,1.3893400000029033
100,4,0,0.14234530765565273,0.14620935518577619,0.25565360820591715,0.11486969538339643,0.9562540155748716,0.11234631383445107,0.08949537148624005,0.9422419275601385,-0.008715773932635784,-0.09683746099472046,-0.3866042196750641,0.005886772647500038,-0.07163803279399872,0.002226419746875763,0.9982759952545166,1.3764710000145897
100,5,0,0.1420650962783142,0.15024555496893482,0.2558489385511888,0.11486825932770774,0.9570267854650059,0.10958179190134036,0.08795620842139736,0.935686913983408,-0.029587604105472565,-0.10194618999958038,-0.38241150975227356,0.006585216149687767,-0.07506545633077621,0.022121671587228775,0.9995191097259521,1.3019159999885233
100,6,0,0.1420612441035019,0.15349036642060213,0.25584511780839414,0.11488149677828102,0.9571459554516446,0.10755334126733303,0.08653123768966642,0.9294854347798437,0.04621858894824982,-0.08281073719263077,-0.35268551111221313,0.00039975062827579677,-0.07381265610456467,0.026299642398953438,0.9999801516532898,1.3015179999911197
100,7,0,0.14206188665601546,0.15606658334254056,0.25584171382408966,0.11488641515415393,0.9571630813881457,0.10634063470775425,0.08527106882448846,0.9235604469521472,0.0950809121131897,-0.06483200937509537,-0.33546119928359985,-0.001131430733948946,-0.06882918626070023,0.030693940818309784,0.9999971985816956,1.4843079999877773
100,8,0,0.14205889593927032,0.15813596700037158,0.2558425546968004,0.11488815744902289,0.9571625238926982,0.10576583251689503,0.08429576380092912,0.9178170416900592,0.11629262566566467,-0.04514387622475624,-0.33634066581726074,-0.0012657849583774805,-0.06698521226644516,0.036771178245544434,0.9999992251396179,1.0739870000406881
100,9,0,0.14205520649104153,0.15982831419515675,0.2558442287192608,0.11488927489111612,0.9571586486378997,0.10569079207065477,0.08362044471513246,0.9121998259163884,0.12494800239801407,-0.025711053982377052,-0.3432137668132782,-0.0022670438047498465,-0.06656569987535477,0.04392571002244949,0.9999997019767761,1.2717420000285529
100,10,0,0.14205141591173753,0.1612769884578131,0.25584603459595473,0.11489028367441113,0.957154172557668,0.10599060992803186,0.08320527716256428,0.906659825686337,0.12849675118923187,-0.007258293218910694,-0.35233205556869507,-0.003917209338396788,-0.06569525599479675,0.04973512887954712,0.9999998211860657,1.4320150000344256
100,11,0,0.14204761896994003,0.16260509165910644,0.2558478568505828,0.11489127245625057,0.9571495967659311,0.1065516538507098,0.0830280629131633,0.9011514228590936,0.12931564450263977,0.010542201809585094,-0.361915647983551,-0.005158000625669956,-0.06487400084733963,0.05442085489630699,0.9999999403953552,0.9100209999814979
100,12,0,0.14204382927635864,0.16388338583108453,0.2558496778203882,0.11489225578531848,0.9571450130142318,0.1073084998384189,0.0830818855954486,0.8956520626575245,0.12549231946468353,0.028114551678299904,-0.37275636196136475,-0.006418693345040083,-0.06465569883584976,0.05884862691164017,0.9999999403953552,1.099464999981592
100,13,0,0.14204004858668018,0.16517905930266763,0.2558514949292251,0.1148932360417736,0.9571404381858013,0.1082015405724723,0.08335768238788209,0.8901395317269665,0.1201166883111,0.04681263118982315,-0.3840774893760681,-0.007765872869640589,-0.06495837867259979,0.062410641461610794,1.0,1.491955999995298
100,14,0,0.14203627704448776,0.1665399031015491,0.2558533078394072,0.11489421363226893,0.9571358753684394,0.10919701607594187,0.08383619123420558,0.8845902300409347,0.11596104502677917,0.06495826691389084,-0.39573922753334045,-0.009164731949567795,-0.06568954885005951,0.06441104412078857,1.0,1.339093000012781
