expert_start_step,rollout_step,success,reward,eef_nut_distance,nut_x,nut_y,nut_z,eef_x,eef_y,eef_z,action_dx,action_dy,action_dz,action_rx,action_ry,action_rz,action_gripper,latency_ms
100,1,0,0.16584473156844198,0.08504351013992566,0.2186380224858678,0.11292003814304735,0.953045517079462,0.13509884694642618,0.09717759759351931,0.9554497493175315,0.020813604816794395,-0.098664790391922,-0.3397562801837921,-0.0010331586236134171,-0.06543780863285065,-0.011421067640185356,0.9904521107673645,81.08922699999255
100,2,0,0.1737565351602093,0.10530854753166002,0.22626144213130828,0.11282784795130328,0.9624921892470096,0.12357851465543412,0.09070550737813991,0.9549616756007013,0.01930823363363743,-0.09415950626134872,-0.3473343253135681,0.002656594617292285,-0.057684171944856644,-0.01528617087751627,0.8902204036712646,1.3948590000012473
100,3,0,0.15635811268006117,0.1310337349456006,0.24647395072776093,0.11385796815954614,0.9669620210129328,0.11899316506044534,0.08872302963450282,0.9500290990920075,0.053514182567596436,-0.08633122593164444,-0.35325103998184204,0.00325465458445251,-0.06859637796878815,-0.0015849178889766335,0.9971238970756531,1.3749459999985447
100,4,0,0.13192653623230657,0.14942215410419007,0.26207275601006974,0.11482627967034291,0.954525447224687,0.1156744527987995,0.08708238456285414,0.943354357830095,0.048315126448869705,-0.0839795172214508,-0.3621242940425873,0.003600649768486619,-0.07421795278787613,0.015216453932225704,0.9997637867927551,0.74882799999898
100,5,0,0.13000161925323098,0.15490062925679443,0.26338327669973494,0.1148149848219499,0.9540119729790049,0.11224097684826195,0.08582640614838459,0.9364087787732698,-0.12812992930412292,-0.09399048984050751,-0.4223141670227051,0.012584837153553963,-0.07505182176828384,0.03265714272856712,0.9971674084663391,0.674582000002033
100,6,0,0.129598887536647,0.15934788337696856,0.2634849334875373,0.11518620779587199,0.9517199318726202,0.10854434431527096,0.08514367620950962,0.9297515896603964,-0.19155782461166382,-0.005952794570475817,-0.4310665428638458,0.004810085520148277,-0.08269146084785461,0.05744798481464386,0.9999725818634033,0.9683180000052971
100,7,0,0.12968747943034584,0.16387440597856331,0.2633463116332551,0.11539157710159995,0.9497229113294301,0.10442569763624444,0.08531878848135922,0.9233660001628605,-0.28673407435417175,0.06710672378540039,-0.4437961280345917,0.00228775548748672,-0.07847806811332703,0.09075381606817245,0.9999973773956299,0.8976000000018303
100,8,0,0.13009142432831877,0.16884277335832243,0.26302495230969747,0.11555936053957416,0.9478772258482507,0.09956829606901796,0.0865069728379366,0.9171239753732212,-0.3851688802242279,0.14218902587890625,-0.4654923975467682,0.002844477305188775,-0.07525226473808289,0.12183395773172379,0.9999989867210388,0.7777330000067195
100,9,0,0.13076712822349104,0.17439640590091032,0.262521982487686,0.1157270140867715,0.9460562364760706,0.09385697183768552,0.08868328625177263,0.9109156992238201,-0.48415687680244446,0.21820828318595886,-0.4915129542350769,0.00484505807980895,-0.07321874797344208,0.14180338382720947,0.9999991655349731,1.917660000003707
100,10,0,0.13149895637817996,0.18077011740689172,0.26199476667050436,0.1158553103844058,0.9443342926120626,0.08729690307590292,0.09171399727124463,0.9046393457805607,-0.5597599148750305,0.286273330450058,-0.5140963196754456,0.008981592953205109,-0.06933765113353729,0.14733636379241943,0.9999991655349731,0.8291380000002846
100,11,0,0.13231626566232366,0.18795262018061276,0.26144746164446825,0.11591993262086339,0.9425065316622215,0.079933951728291,0.0954953940550508,0.8982135144355623,-0.6199296116828918,0.34161463379859924,-0.5309005975723267,0.013724034652113914,-0.06308707594871521,0.15257586538791656,0.9999991059303284,1.08970200000158
